trType,posX1,posY1,posZ1,posX2,posY2,posZ2
2,12399.2,55882.3,51694,11788,55110.2,54294
2,11788,55110.2,54294,11492.3,54735.5,55594
2,11492.3,54735.5,55594,11232.7,54325.9,56894
2,11232.7,54325.9,56894,10931.7,53947.9,58194
2,10931.7,53947.9,58194,10625,53566.1,59494
2,10625,53566.1,59494,10345.6,53210.3,60794
2,15120,59147.6,39805,15634.3,59098.7,41294
2,15634.3,59098.7,41294,16534.7,59021,43894
2,16534.7,59021,43894,17453,58954.4,46494
2,17453,58954.4,46494,17914.9,58921.8,47794
2,17914.9,58921.8,47794,18366.5,58889.9,49094
2,18366.5,58889.9,49094,18820.7,58858.9,50394
2,18820.7,58858.9,50394,19280.5,58820,51694
2,19280.5,58820,51694,19734.4,58782.2,52994
2,19734.4,58782.2,52994,20192.4,58742.2,54294
2,20192.4,58742.2,54294,20652,58709.1,55594
2,20652,58709.1,55594,21141.9,58662.2,56894
2,21141.9,58662.2,56894,21602.9,58626.3,58194
2,21602.9,58626.3,58194,22062.7,58592.1,59494
2,22062.7,58592.1,59494,22472.7,58563,60794
8,15108.6,59153.1,39707.7,15091.7,59260.2,40814.1
3,15403.5,59903,46494,15476,60036.2,47794
3,15407.6,59903.7,46494,15478.3,60046,47794
3,15429.5,59940.8,46494,15526,60099.9,47794
3,15460.2,60045.4,47794,15517,60185.5,49094
3,15469.3,60043.9,47794,15542.5,60178.2,49094
3,15476.7,60045.6,47794,15545.7,60190.2,49094
3,15506.5,60193.1,49094,15542.8,60346.5,50394
3,15516.5,60188.1,49094,15573.3,60329.5,50394
3,15543.7,60182.1,49094,15621.4,60365.3,50394
3,15534.9,60347.8,50394,15586.8,60500.8,51694
3,15585.2,60331.6,50394,15637.6,60453.9,51694
3,15630.9,60323.6,50394,15605.8,60430.8,51694
3,15624.6,60337,50394,15682.6,60472.2,51694
3,15635.5,60341.7,50394,15702.2,60493.9,51694
3,15717.2,60418.3,50394,15812.4,60561,51694
3,15439.9,60370.1,51694,15477.5,60487.4,52994
3,15442.9,60381.9,51694,15487.1,60521,52994
3,15590.6,60438.6,51694,15678.2,60527.7,52994
3,15619.7,60460.5,51694,15664.4,60613.6,52994
3,15619.9,60460.9,51694,15665.1,60611.8,52994
3,15672.3,60462.6,51694,15745.9,60597,52994
3,15676.7,60461.8,51694,15729.7,60599.2,52994
3,15682.5,60506.9,51694,15718.6,60559.3,52994
3,15681.2,60499.9,51694,15742.6,60676.1,52994
3,15688.2,60519.1,51694,15716,60604.2,52994
3,15479.7,60490.6,52994,15545.1,60714.8,54294
3,15647.7,60590.6,52994,15639.2,60718.4,54294
3,15671.7,60611,52994,15685.6,60721.4,54294
3,15670.4,60606.7,52994,15718.6,60750.3,54294
3,15669.8,60597.7,52994,15726.7,60739.4,54294
3,15745.9,60668.4,52994,15821,60843,54294
3,15524.2,60628.4,54294,15557.1,60754.2,55594
3,15526.9,60645,54294,15561.9,60773.6,55594
3,15527.1,60647.9,54294,15562.7,60775.3,55594
3,15828.5,60844.2,54294,15909.9,61007.3,55594
3,15837.9,60743.6,54294,15931.2,60874.1,55594
3,15559.3,60758,55594,15594.7,60878.8,56894
3,15875.3,60900.8,55594,15946.5,61041.2,56894
3,15873.8,60901,55594,15962.8,61032.7,56894
3,15878.6,60898.8,55594,15950,61041,56894
3,15932.8,60885.5,55594,16025.5,61020.8,56894
3,15593.9,60883.8,56894,15634.3,61012.6,58194
3,15636.7,61006.5,58194,15676.7,61120.4,59494
3,15675.9,61114.8,59494,15721.4,61216.9,60794
3,16150.6,61282,59494,16247.3,61447.8,60794
3,16151.3,61283.6,59494,16247.9,61450.1,60794
8,100994,11985,68263.5,100813,11975.1,69478.1
2,100994,11985,68263.5,100931,12128.1,69869.3
2,100931,12128.1,69869.3,100876,12250.7,71238.3
2,100876,12250.7,71238.3,100823,12373.6,72610.5
2,100823,12373.6,72610.5,100764,12524.7,74096.7
2,100994,11985,68263.5,101061,12038.5,69869.3
2,101061,12038.5,69869.3,101116,12084.9,71238.3
2,101116,12084.9,71238.3,101174,12131.1,72610.5
2,100994,11985,68263.5,101170,11909.8,69869.3
2,101170,11909.8,69869.3,101321,11847.8,71238.3
2,101321,11847.8,71238.3,101466,11784.4,72610.5
2,101466,11784.4,72610.5,101607,11731.4,74096.7
2,100994,11985,68263.5,101264,12048.1,69869.3
2,101264,12048.1,69869.3,101491,12109.2,71238.3
2,101491,12109.2,71238.3,101715,12168.9,72610.5
2,101715,12168.9,72610.5,101949,12256.5,74096.7
2,100813,11975.1,69478.1,100719,12002.7,71238.3
2,100719,12002.7,71238.3,100646,12023.6,72610.5
2,100646,12023.6,72610.5,100558,12061,74096.7
8,42984.3,36068.7,24420.3,42990,36064.6,24634.5
2,42984.3,36068.7,24420.3,41953.8,35123.1,25908
2,43022.4,36037.4,24924.3,43462.2,36209.9,27198
2,43462.2,36209.9,27198,43696.3,36348.6,28476
2,43696.3,36348.6,28476,43894,36484.3,29756
2,43894,36484.3,29756,44098.4,36613.8,31036
2,42990,36064.6,24634.5,43141.1,36052.1,27198
